,vmaf
Sparks2_1000nit_AVS3_r3,82.248135
Sparks2_1000nit_AVS3_r4,69.746545
Sparks2_1000nit_AlphaVC-P_r1,77.653676
Sparks2_1000nit_AlphaVC-P_r2,71.728335
Sparks2_1000nit_AlphaVC-P_r3,66.495925
Sparks2_1000nit_AlphaVC-P_r4,53.952845
Sparks2_1000nit_EEM_r1,86.260625
Sparks2_1000nit_EEM_r2,76.473501
Sparks2_1000nit_EEM_r3,69.726754
Sparks2_1000nit_EEM_r4,54.724923
Sparks2_1000nit_LTM_r1,91.266616
Sparks2_1000nit_LTM_r2,72.576276
Sparks2_1000nit_LTM_r3,65.339278
Sparks2_1000nit_LTM_r4,51.669499
Sparks2_1000nit_NNVC_r1,96.768716
Sparks2_1000nit_NNVC_r2,88.557937
Sparks2_1000nit_NNVC_r3,82.039129
Sparks2_1000nit_NNVC_r4,60.70591
Sparks2_1000nit_VTM_r1,85.511349
Sparks2_1000nit_VTM_r2,77.364902
Sparks2_1000nit_VTM_r3,66.62265
Sparks2_1000nit_VTM_r4,54.684407
Sparks3_1000nit_AVS3_r1,92.190183
Sparks3_1000nit_AVS3_r2,90.415678
Sparks3_1000nit_AVS3_r3,88.292542
Sparks3_1000nit_AVS3_r4,81.064443
Sparks3_1000nit_AlphaVC-P_r1,84.401313
Sparks3_1000nit_AlphaVC-P_r2,81.536453
Sparks3_1000nit_AlphaVC-P_r3,79.223519
Sparks3_1000nit_AlphaVC-P_r4,63.414222
Sparks3_1000nit_EEM_r3,79.738613
Sparks3_1000nit_EEM_r4,64.838003
Sparks3_1000nit_LTM_r1,90.676396
Sparks3_1000nit_LTM_r2,81.145162
Sparks3_1000nit_LTM_r3,69.501416
Sparks3_1000nit_LTM_r4,61.780158
Sparks3_1000nit_NNVC_r1,96.412871
Sparks3_1000nit_NNVC_r2,91.36958
Sparks3_1000nit_NNVC_r3,88.083936
Sparks3_1000nit_NNVC_r4,73.434228
Sparks3_1000nit_VTM_r1,90.009422
Sparks3_1000nit_VTM_r2,85.667131
Sparks3_1000nit_VTM_r3,78.184606
Sparks3_1000nit_VTM_r4,66.222048
